Material 1,Material 2,Step in ratio,Angle,Polarization value,Polarization range,Color value,Color range
,,0.1,10,0.5,0.1,0.45,0.1
,,,,,,,
,,fraction of material 1,fraction of material 2,size of material 1,size of material 2,polarization value,color value
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.1,0.9,0.112939,0.148184,0.567614,0.35382
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.45227,0.373449
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.1,0.9,2.939965,0.148184,0.419377,0.401145
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.2,0.8,2.939965,0.255104,0.474952,0.385775
Halley+ice_0.80_volume,ice+void_porosity_0.50,0.2,0.8,2.939965,0.334716,0.468556,0.370615
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.1,0.9,0.112939,0.148184,0.563434,0.368829
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.1,0.9,0.576226,0.148184,0.448179,0.387716
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.1,0.9,2.939965,0.148184,0.416099,0.414354
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.194428,0.401564,0.405095
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.255104,0.484783,0.391121
Halley+ice_0.80_volume,ice+void_porosity_0.55,0.2,0.8,2.939965,0.334716,0.457792,0.371489
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.1,0.9,0.112939,0.148184,0.563434,0.35424
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.1,0.9,0.576226,0.148184,0.448179,0.374136
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.1,0.9,2.939965,0.148184,0.416099,0.402145
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.194428,0.401564,0.399923
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.255104,0.484783,0.393479
Halley+ice_0.80_volume,ice+void_porosity_0.90,0.2,0.8,2.939965,0.334716,0.457792,0.377325
Halley+ice_0.80_volume,Organic,0.1,0.9,0.112939,0.148184,0.449964,0.39559
Halley+ice_0.80_volume,Organic,0.1,0.9,0.756051,0.148184,0.530041,0.358868
Halley+ice_0.80_volume,Organic,0.2,0.8,2.939965,0.255104,0.408374,0.373332
Halley+ice_0.80_volume,Organic,0.2,0.8,2.939965,0.334716,0.400849,0.36944
Halley+ice_0.80_volume,Silicate,0.2,0.8,2.939965,0.255104,0.408374,0.376957
Halley+ice_0.80_volume,Silicate,0.2,0.8,2.939965,0.334716,0.400849,0.370913
Halley+ice_0.80_volume,Titan_tholin,0.1,0.9,0.112939,0.148184,0.51078,0.357731
Halley+ice_0.80_volume,Titan_tholin,0.1,0.9,0.576226,0.148184,0.407639,0.376496
Halley+ice_0.80_volume,Titan_tholin,0.2,0.8,2.939965,0.255104,0.431176,0.376751
Halley+ice_0.80_volume,Titan_tholin,0.2,0.8,2.939965,0.334716,0.433835,0.353799
Halley+ice_0.90_volume,Ice,0.2,0.8,2.939965,0.194428,0.414912,0.38243
Halley+ice_0.90_volume,Ice_tholin,0.1,0.9,0.112939,0.148184,0.488736,0.380788
Halley+ice_0.90_volume,Ice_tholin,0.2,0.8,2.939965,0.255104,0.445451,0.370872
Halley+ice_0.90_volume,ice+void_porosity_0.40,0.1,0.9,0.112939,0.148184,0.57423,0.357848
Halley+ice_0.90_volume,ice+void_porosity_0.40,0.1,0.9,0.576226,0.148184,0.460081,0.377269
Halley+ice_0.90_volume,ice+void_porosity_0.40,0.1,0.9,2.939965,0.148184,0.422561,0.401715
Halley+ice_0.90_volume,ice+void_porosity_0.40,0.2,0.8,2.939965,0.194428,0.403574,0.3788
Halley+ice_0.90_volume,ice+void_porosity_0.40,0.2,0.8,2.939965,0.255104,0.493319,0.373116
Halley+ice_0.90_volume,ice+void_porosity_0.40,0.2,0.8,2.939965,0.334716,0.472365,0.359664
Halley+ice_0.90_volume,ice+void_porosity_0.50,0.1,0.9,0.112939,0.148184,0.577314,0.354615
Halley+ice_0.90_volume,ice+void_porosity_0.50,0.1,0.9,0.576226,0.148184,0.462514,0.374283
